1307,70,4619
2863,22,4703
4570,1,4873
4441,56,4863
2274,35,4675
1827,101,4651
1519,7,4632
885,68,4597
2540,38,4685
6934,38,5008
38,113,4505
286,68,4552
8726,122,5176
6320,101,4978
2966,26,4715
765,64,4590
2085,44,4663
5285,10,4916
7518,4,5044
2050,120,4658
8084,108,5084
8450,126,5127
5077,105,4903
8035,68,5080
6567,14,4990
4779,14,4886
7252,14,5028
94,14,4524
2746,24,4696
3889,101,5820
6688,17,5995
3464,89,5753
1162,51,5612
7791,46,6062
3485,13,5757
4457,127,5865
3016,54,5713
2495,97,5683
8291,82,6104
5412,101,5923
4333,1,5857
3091,127,5717
2128,95,5667
2696,51,5694
3659,48,5787
3899,29,5822
2582,108,5689
1237,1,5615
4407,123,5861
3096,24,5716
3080,46,5715
8591,106,6148
6889,35,6009
2865,123,5703
3819,52,5820
4770,115,5887
1363,14,5624
5911,115,5953
4787,109,5888
3732,11,5801
4931,55,5896
4981,73,5902
788,118,5592
6485,4,5989
3745,123,5803
6268,115,5973
900,123,5598
2013,123,5657
7494,52,6050
3448,118,5750
4820,32,5889
1991,108,5658
8225,106,6097
3900,38,6823
6641,127,6993
4757,130,6884
7687,46,7058
6675,34,6996
5334,51,6921
3249,46,6729
920,13,6600
5930,18,6952
1937,70,6653
3423,85,6747
3853,59,6818
2631,48,6689
2359,35,6675
5399,13,6924
8435,97,7124
2875,70,6703
8512,52,7138
1899,70,6651
7663,70,7053
3877,70,6819
3500,64,6763
2137,14,6664
8167,10,7094
2664,95,6691
1946,56,6653
8511,82,7138
4388,95,6860
1894,72,6652
7168,116,7024
856,57,6596
4043,119,6837
2156,9,6664
2451,95,6681
6696,68,6995
6555,82,6989
4524,18,7869
1023,73,7607
4117,70,7842
5508,13,7928
2889,44,7704
2901,11,7704
8727,59,8174
7597,45,8048
339,113,7556
4202,85,7847
2388,45,7677
7845,82,8068
7568,34,8047
1183,91,7612
20,45,7495
4142,109,7842
5950,13,7954
2859,17,7703
5553,34,7932
3944,116,7830
8562,109,8145
5791,13,7944
5749,50,7947
1310,55,7620
1709,91,7641
3681,17,7791
3065,34,7715
5725,3,7941
2290,13,7671
4524,17,7870
291,34,7553
5113,91,7905
7812,44,8064
3874,95,7819
1802,116,7650
270,19,7550
5243,52,7918
8049,44,8081
5356,9,7920
2810,91,7700
6363,9,7977
323,62,7554
7932,91,8071
3651,34,7786
2431,97,8680
2369,19,8675
7448,101,9042
2225,26,8667
1109,89,8611
7104,18,9020
4537,34,8870
196,54,8545
7756,32,9061
4933,89,8897
2876,44,8704
5002,45,8901
1888,117,8657
7304,45,9033
7399,85,9036
1536,91,8633
2600,74,8689
5052,7,8901
7894,94,9070
3487,41,8758
1753,85,8643
1726,87,8642
7679,27,9055
4644,27,8878
652,95,8580
7124,116,9019
8439,8,9128
6694,109,8997
2235,96,8672
5523,4,8930
2318,19,8672
3048,94,8715
6233,110,8969
187,52,8541
7331,31,9035
1560,110,8632
7919,78,9072
5276,70,9915
6232,89,9970
6091,70,9961
2822,59,9703
1781,46,9645
5556,129,9933
4387,88,9860
2797,13,9699
2648,77,9692
4742,44,9883
7180,51,10024
5871,30,9949
4513,70,9868
7150,77,10023
6554,31,9988
397,11,9560
3707,80,9796
8349,7,10113
2000,54,9658
3325,17,9738
3329,51,9735
2713,84,9694
1627,96,9636
2586,6,9688
1786,51,9646
7317,11,10032
170,87,9538
7886,8,10069
1279,53,9618
4020,80,9834
5123,85,9906
1187,88,9612
591,71,9578
70,53,9517
7007,88,10013
8796,41,10189
7118,115,10019
3938,8,9826
239,53,9548
2087,80,9661
4716,87,9881
317,11,9554
297,130,9553
7823,8,10066
8461,91,11127
5253,59,10913
5119,68,10906
2765,113,10697
449,81,10568
3309,101,10732
5512,123,10929
3357,91,10737
2064,26,10659
6534,69,10988
3112,91,10717
5812,101,10946
1079,12,10606
1503,26,10629
2221,85,10667
956,94,10604
3881,92,10820
287,69,10554
4548,10,10870
7158,46,11023
7850,85,11066
4123,108,10841
8464,85,11128
41,41,10506
5541,34,10931
6850,5,11004
6937,101,12008
3972,89,11829
4976,27,11898
6807,91,12002
1220,101,11614
8243,54,12100
1821,75,11647
8262,54,12102
2686,27,11693
8643,51,12157
5976,11,11955
3934,32,11827
2614,26,11689
5048,62,11904
7627,91,12050
6441,123,11987
2932,70,11706
6974,107,12014
4350,121,11859
7302,44,12032
768,91,11589
2627,109,11689
8619,101,12153
8666,32,12163
2142,108,11666
7956,60,12074
8608,7,12151
6925,6,12009
123,67,11532
130,123,11536
4727,22,11883
4228,38,11850
1044,73,11605
7698,9,12056
2494,87,11683
7790,10,12062
7370,78,12035
790,117,11592
737,6,11588
8114,95,12086
5255,77,11916
2488,117,11684
8649,32,12160
422,48,11563
2105,117,11662
5610,8,11937
230,8,11549
4026,8,11837
8264,70,13102
1026,51,12605
5650,18,12940
4609,50,12874
5662,130,12942
8146,46,13091
1957,34,12654
1960,92,12655
5409,35,12922
2441,125,12680
7694,49,13061
1470,117,12628
2162,32,12668
2741,54,12698
3907,45,12824
2281,46,12672
1003,54,12605
7319,31,13032
6618,92,12993
3451,54,12752
6094,16,12961
2053,54,12660
1906,84,12654
7134,54,13022
8552,14,13143
6849,76,13007
492,70,12569
420,108,12562
3125,125,12718
4069,95,12837
3566,70,12771
1504,102,12629
2108,54,12664
5094,102,12904
112,19,12527
1026,34,12604
3341,40,13736
5698,14,13939
6759,54,13999
2626,45,13689
1378,130,13623
460,67,13569
5983,44,13957
6185,78,13966
1636,88,13636
5504,46,13932
5925,13,13956
8802,54,14190
3780,130,13809
4845,1,13890
6114,45,13962
6368,50,13977
5576,130,13932
8187,45,14094
1750,85,13643
5869,26,13950
2008,68,13658
7239,11,14027
7562,26,14047
4559,120,13874
3089,32,13717
6431,10,13981
5129,23,13908
7487,67,14045
159,31,13537
2055,119,13659
7565,108,14047
2621,41,13689
1175,38,13611
6713,10,13997
3312,108,13733
5021,83,13899
4810,41,13887
756,34,13588
6273,115,14972
7313,7,15033
7545,95,15045
1353,102,14621
6620,14,14992
653,101,14583
6355,29,14976
1461,26,14627
1514,130,14631
6691,14,14995
4751,115,14884
501,62,14569
3674,80,14789
8367,35,15114
614,26,14578
1506,123,14631
1607,73,14635
7512,123,15046
6895,62,15007
5207,9,14911
7160,53,15022
7205,123,15027
3226,101,14727
902,120,14599
4337,46,14857
1392,14,14624
8186,82,15093
3893,52,14821
200,109,14544
1609,9,14635
6826,113,15002
8011,71,15081
511,82,14570
2630,34,14689
2254,82,14669
4322,34,14856
6184,109,14968
8459,109,15129
5739,109,14943
8789,109,15189
4974,109,14899
3132,107,15718
4838,38,15889
3811,101,15812
2716,14,15695
8089,89,16085
5400,59,15922
8533,59,16140
3256,28,15729
4866,12,15890
461,14,15567
2025,55,15662
912,123,15600
7142,53,16021
6676,51,15994
7213,34,16026
8555,11,16143
7723,92,16058
1407,26,15626
5202,92,15910
1354,48,15621
4369,51,15859
8086,87,16086
3106,44,15720
4851,92,15890
6966,8,16012
4971,97,15896
5784,26,15946
7844,88,16068
4485,17,15867
3904,64,15822
1084,9,15610
5069,62,15902
2758,92,15696
1747,77,15643
8520,92,16138
5005,73,15904
5414,62,15923
4839,51,15889
6634,97,15993
875,97,15596
6080,95,15960
858,8,15596
122,14,15530
3307,30,15732
7222,97,16026
3571,14,15772
5292,70,16917
7311,89,17032
2381,29,16677
3290,101,16733
4404,54,16861
7467,29,17042
6401,101,16981
8478,14,17131
984,97,16603
6353,68,16976
7958,94,17073
8391,45,17118
8085,40,17084
17,123,16495
3724,11,16798
6837,40,17003
4540,45,16870
2971,85,16711
5441,14,16924
4442,94,16863
5083,68,16903
4577,48,16872
8055,13,17084
7930,16,17072
3555,113,16769
5326,123,16918
2198,13,16669
1541,95,16633
